run,herd ID,herd type ID,herd type,species ID,herd size,farm ID,lat,long,LGA ID,region ID,mega-region ID,jurisdiction ID,risk category,biosecurity weight,unused,unused,day infected,infection pathway,source herd ID,source jurisdiction ID,day clinical,day diagnosed,reason diagnosed,day culled,reason culled,day vaccinated,day immune,last day infected,prevalence,seroprevalence,num sero+,lacto-prevalence
1,128620,10,smallholder,4,3,128620,-36.3927,144.894,165,9,3,2,0.0,1.0,0,0,18,local,58352,2,20,25,SP,27,IP,-1,-1,27,0.0000,0.0000,0,0.0000
1,58486,6,dairy,1,510,58486,-36.3284,144.915,165,9,3,2,0.0,1.0,0,0,8,local,64828,2,9,18,SP,21,IP,-1,-1,21,0.0000,0.0000,0,0.0000
1,20858,2,beef intensive,1,40,20858,-36.33,144.931,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
1,58494,6,dairy,1,383,58494,-36.3246,144.903,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
1,20865,2,beef intensive,1,40,20865,-36.3478,144.895,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
1,58532,6,dairy,1,346,58532,-36.3703,144.86,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
1,20689,2,beef intensive,1,96,20689,-36.3558,144.867,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
1,58330,6,dairy,1,268,58330,-36.3692,144.887,165,9,3,2,0.0,1.0,0,0,15,local,58357,2,16,18,ARP,21,IP,-1,-1,21,0.0000,0.0000,0,0.0000
1,20699,2,beef intensive,1,67,20699,-36.4101,144.889,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,26,33,-1,0.0000,0.0000,0,0.0000
1,58331,6,dairy,1,532,58331,-36.4031,144.864,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,26,33,-1,0.0000,0.0000,0,0.0000
1,58338,6,dairy,1,292,58338,-36.4066,144.87,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,26,33,-1,0.0000,0.0000,0,0.0000
1,58339,6,dairy,1,486,58339,-36.333,144.869,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,28,35,-1,0.0000,0.0000,0,0.0000
1,58340,6,dairy,1,455,58340,-36.3454,144.862,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,28,35,-1,0.0000,0.0000,0,0.0000
1,58345,6,dairy,1,273,58345,-36.4061,144.887,165,9,3,2,0.0,1.0,0,0,23,local,128620,2,25,31,SP,34,IP,26,33,34,0.0000,0.0000,0,0.0000
1,58349,6,dairy,1,336,58349,-36.381,144.928,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
1,58352,6,dairy,1,298,58352,-36.3725,144.889,165,9,3,2,0.0,1.0,0,0,9,local,64828,2,10,18,SP,21,IP,-1,-1,21,0.0000,0.0000,0,0.0000
1,120051,10,smallholder,4,10,120051,-36.3714,144.919,165,9,3,2,0.0,1.0,0,0,7,local,64828,2,9,20,SP,22,IP,-1,-1,22,0.0000,0.0000,0,0.0000
1,58357,6,dairy,1,357,58357,-36.362,144.901,165,9,3,2,0.0,1.0,0,0,5,local,64828,2,6,14,first detection,17,IP,-1,-1,17,0.0000,0.0000,0,0.0000
2,21506,2,beef intensive,1,148,21506,-36.1211,145.261,201,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,40,47,-1,0.0000,0.0000,0,0.0000
